term,Category,Freq,Term,Total,loglift,logprob
3539,Topic2,22.194307675574507,미래,1209,0.94487364021565,0.007214650401319334
8152,Topic2,20.05802564095663,참가,1314,0.93424412545117,0.007031915806804904
1406,Topic2,22.371381119955252,공동,1192,0.9460352614574454,0.006987469656438557
6153,Topic2,22.65885395161756,오전,5291,0.7976527228229103,0.006793144423860599
1890,Topic2,47.243468327879626,금지,19890,0.6857508317823541,0.00675951323639052
7204,Topic2,48.45254463119063,재배포,20443,0.6852855814424589,0.0067095108244836586
5837,Topic2,21.236944810501335,업체,1102,0.9473961385009779,0.006651043945613158
3424,Topic2,48.71373431889988,무단,21575,0.6747040942152487,0.006487387801219342
353,Topic2,18.77574480235668,22일,1836,0.9044872471319575,0.00646957913645636
7780,Topic2,17.221935836034778,주제,1230,0.9286492348082763,0.006346447494045442
1851,Topic2,20.89541398848499,글로벌,2433,0.8881401525566702,0.005950252731676931
9457,Topic2,14.052432596305303,헤럴드경제,1195,0.916010123628077,0.005881806091928851
7249,Topic2,25.66721660934294,저작권자,7556,0.7575195190672546,0.005556778903040467
2681,Topic2,32.95645982610848,대한,9054,0.7700298985189793,0.005412021304163826
8908,Topic3,615.1509583256051,파업,1020,0.996572591060171,0.03935063580908276
8652,Topic3,199.22314022231237,코레일,243,0.9988530301775396,0.013408132808134268
2356,Topic3,172.52518044607334,노조,567,0.9881926082439606,0.01173471240406686
8240,Topic3,135.75464858501766,철도노조,196,0.9976862927172878,0.010638125112077462
6327,Topic3,146.76631785884936,운행,411,0.9906794719417862,0.010094390835282642
8239,Topic3,126.25012606725544,철도,312,0.9923701504238247,0.008715653434070186
4096,Topic3,114.72003924582359,부산,2011,0.9204889777346685,0.008449941402263222
6328,Topic3,85.76806796028109,운행률,90,0.9997422215147038,0.006729793697027119
8838,Topic3,99.84111770506497,투입,607,0.9741415641210196,0.0066097592922001345
1694,Topic3,70.44720666296564,국비,153,0.9939135761254217,0.006589231682954884
9591,Topic3,78.12342719062792,화물연대,91,0.9991394211444561,0.006287699974726082
4749,Topic3,54.749510391454024,성과연봉제,468,0.9620529778134316,0.006190290012011977
9564,Topic3,72.66785087162313,혼잡,133,0.9956801179333323,0.005663074616438987
6036,Topic3,80.48686049338104,열차,497,0.9736693964087254,0.005640847672531536
8405,Topic3,36.065797850055915,최장기,124,0.9874191665708311,0.005361421295080044
2352,Topic3,62.751757346049736,노사,223,0.9868309118720385,0.005295245567072424
2726,Topic3,60.37837336183691,도로,410,0.9706291978485376,0.005229079440133826
3510,Topic3,56.9248087205272,물류,315,0.9768569171524448,0.005164576882818932
1278,Topic3,108.76402855539133,계획,3647,0.8547013800406146,0.00513421304875929
2657,Topic3,84.63731696297619,대체인력,87,0.9998541434951499,0.004974006199735062
9592,Topic3,39.18760648775904,화물열차,40,0.9998916781077459,0.004935992017297495
1561,Topic3,44.16579827894516,교섭,121,0.9909908520218302,0.004641754681159463
7483,Topic3,109.27377899850497,정부,4169,0.8374191943583313,0.004540099803620569
313,Topic3,66.04342873776865,2020년,377,0.9759862814634285,0.004452038483209468
9590,Topic3,40.46943058074567,화물,123,0.9894554135255489,0.003988395068359069
1716,Topic3,58.78039415121914,국토부,252,0.983112418573975,0.003713085359718286
5595,Topic3,59.77189953903949,안전,1237,0.9066822513413322,0.0037037901140170395
8839,Topic3,79.08562276844341,투자,2628,0.8558538939073018,0.003687983198888922
8203,Topic3,49.40787387197535,채용,694,0.9361749143658648,0.0036308866033022335
5050,Topic3,83.45157264356011,수준,2240,0.8810243279640825,0.0036257518794017016
6314,Topic3,44.538115233609936,운송,114,0.9919158357563885,0.003622635969646412
4013,Topic3,50.67748537663665,복귀,761,0.9317525118699997,0.0036135558334871093
1328,Topic3,38.18599369521297,고속도로,199,0.9784666607047002,0.0035150788280404787
3838,Topic3,23.946152610631014,배추,125,0.9784230838738671,0.003472874725197743
1715,Topic3,44.52078164318673,국토교통부,249,0.9765614074587131,0.0033619025921720375
8241,Topic3,17.730947396397774,철도파업,140,0.9652179193487991,0.0033326700558726804
5930,Topic3,40.670414240248896,역대,422,0.9532917786734549,0.003252319279408694
8135,Topic3,44.97342328471781,차질,193,0.983090803972836,0.0032179226060085526
6017,Topic3,34.192018069506695,연합뉴스,4688,0.5843642245985786,0.0031428392184209763
6816,Topic3,48.76559998418895,인력,628,0.9415569409952255,0.0031051069107184593
415,Topic3,53.13588383468221,2차,611,0.9479896598105281,0.003090556486921311
7668,Topic3,52.96494496810073,조정,819,0.929731115305799,0.0030435289675725305
1465,Topic3,50.591869829960466,공항,603,0.9460209001333263,0.0030235303721903952
365,Topic3,15.691643827080531,24일째,135,0.9617856658831713,0.0030195851289280843
1587,Topic3,32.884787935320524,교통,379,0.9478663282050452,0.0029729261444622654
2787,Topic3,42.30470052841383,돌입,309,0.9681069786932298,0.0029223519915402953
8248,Topic3,34.52116100701868,철회,205,0.974842633545948,0.0028887417833571953
337,Topic3,86.11037066680538,20일,20858,0.44236678500514487,0.0027846130533772774
7556,Topic3,31.616288842690757,제4,266,0.9627046091403885,0.0027150646359794146
7679,Topic3,31.15049728790854,조합원,129,0.9838501617837405,0.002705364929568163
9594,Topic4,548.9344351805206,화보,773,0.9978237848320234,0.05028030550550875
91,Topic4,133.6409541922196,11월호,167,0.9986680480880298,0.014970636751679223
3227,Topic4,195.63823954523644,매력,1371,0.9688979381025308,0.012108737982212382
6861,Topic4,198.77950881374687,인터뷰,1376,0.9693274385686738,0.011418647519984435
8950,Topic4,132.46910848924904,패션,988,0.9666434791641677,0.010887971354463706
831,Topic4,141.1542608793695,가을,1246,0.9598572038350496,0.01078888421225214
4923,Topic4,123.1157105783301,소화,389,0.988592516280757,0.010507550165705681
8368,Topic4,172.49824708763734,촬영,2064,0.9446537676903539,0.01048397421848697
1387,Topic4,193.19408819579775,공개,4575,0.891912628428064,0.009428882224643808
3829,Topic4,139.5885533027598,배우,3842,0.8758722259424329,0.009230101117792277
3220,Topic4,85.0536575472064,매거진,137,0.9967473270472444,0.008730804511621226
4178,Topic4,142.3679778832459,분위기,1157,0.9633174910140729,0.008179737851606673
8048,Topic4,181.52563415748682,진행,7842,0.8160057473734079,0.00755564801537419
4418,Topic4,176.53346081181755,사진,12875,0.722364970825732,0.007490536044772435
3284,Topic4,80.92128194577295,메이크업,372,0.9811429681910443,0.006256783515645709
9325,Topic4,153.7157300810039,함께,7946,0.786870688493464,0.006123682024091656
3748,Topic4,63.441433208984336,발산,312,0.9794953912903205,0.006045771823922603
2777,Topic4,72.80627847946478,돋보,363,0.9791473821027479,0.006033646035236489
6149,Topic4,37.100276914037,오연서,100,0.9910226429511393,0.0059882731211297665
