term,Topic,Freq,Term
3220,4,0.6208296171328934,매거진
4178,4,0.12304924622579594,분위기
8048,4,0.023147874796925122,진행
4418,4,0.013711336762082917,사진
3284,4,0.2175303278112176,메이크업
9325,4,0.019345045316008544,함께
3748,4,0.20333792695187286,발산
2777,4,0.20056826027400765,돋보
6149,4,0.37100276914037,오연서
3402,4,0.35636741924309945,몸매
2422,4,0.23310400697671582,눈빛
5863,4,0.189335238254754,에이핑크
5260,4,0.5041516893800311,시크
6701,4,0.018817647318121883,이번
3413,4,0.48565938773797646,몽환적
6624,4,0.19481755792050712,의상
6696,4,0.06249040926786071,이미지
5163,4,0.08584725569815985,스포츠
3300,4,0.21477710950868545,면모
6204,4,0.12385623191003033,완벽
1784,4,0.08127625861651158,그녀
4690,4,0.026909455857678184,선보
1985,4,0.00576549437025565,기자
7071,4,0.02300021219651055,자신
5484,4,0.3190204030578596,아나운서
3362,4,0.021267124012693317,모습
8379,4,0.02172528187142703,최근
935,4,0.1426485620492791,강렬
9704,4,0.16673817206304656,후문
3929,4,0.08919672463702506,변신
6760,4,0.25166463668970523,이종석
4079,4,0.16436326496768833,부드
2163,4,0.0651736176731329,나라
2242,4,0.49037448313540594,남성미
5129,4,0.08617843171407301,스타일
5224,4,0.08347115234595714,시선
3526,4,0.11302484938784724,뮤지컬
3016,4,0.45198994247164,러블리
9312,4,0.020923935292370948,한편
2247,4,0.019344166985089468,남자
3361,5,0.9247211166415438,모술
6673,5,0.7981345419201492,이라크
6050,5,0.1741618081379063,영국
8349,5,0.3226659001002855,총리
7116,5,0.3220380528996317,작전
8742,5,0.775789287284084,탈환
4239,5,0.40222987985992764,브렉시트
3046,5,0.18041053920906105,로이터
6725,5,0.5554957183094957,이슬람국가
6724,5,0.22406023680185674,이슬람
3281,5,0.2855233107373741,메이
9499,5,0.03069139419847076,현지시간
1649,5,0.030370336047624343,국가
234,5,0.010033559026590795,19일
305,5,0.026508440799240408,2016년
6221,5,0.18777115242664003,외곽
3020,5,0.1321565108161446,런던
66,5,0.01841360792948358,10월
5210,5,0.11244436189584604,시리아
6462,5,0.04128076149465841,유럽
2430,5,0.003629134594521471,뉴스1
1890,5,0.003163688617483471,금지
7261,5,0.19113436147943294,저항
7204,5,0.003066382543565994,재배포
1121,5,0.005329247196388215,것으로
8739,5,0.14805893721957117,탈출
3424,5,0.0029211576183669247,무단
2738,5,0.027310752513795906,도시
7172,5,0.18104591997709193,장악
7393,5,0.11672016949919176,전투
1389,5,0.05000599117177939,공격
3108,5,0.03358016783755185,마을
2213,5,0.26884846345841235,난민
7377,5,0.06715327881731592,전쟁
7925,5,0.3793529282176607,지도자들
8769,5,0.12667718502894293,터키
3530,5,0.005746933941747975,미국
6017,5,0.003396113254714258,연합뉴스
7484,5,0.1969011884521933,정부군
8603,5,0.07072840320352147,캐나다
3892,5,0.06890464646856588,법무부
6658,5,0.005617537775342545,이날
7483,5,0.007726225004703916,정부
3964,5,0.013379734505145608,보도
6669,5,0.008974346961810296,이들
7009,5,0.007236213075002554,있다고
1959,5,0.027543998636060683,기소
6671,5,0.006068089244331003,이라고
3884,5,0.03112509118863194,범죄
6283,5,0.005428702929671228,우리
4707,6,0.27231177311742294,선정
5008,6,0.15479765607962234,수상
2624,6,0.0897849788578227,대상
4092,6,0.22879947454335636,부부
4089,6,0.2161996286027287,부문
5009,6,0.4037395408334074,수상자
1418,6,0.20128903997811853,공모
8404,6,0.7692577483771308,최우수상
5223,6,0.2172606927254473,시상식
8866,6,0.49903078857746447,특구
6294,6,0.8868490532470148,우수상
1980,6,0.16548271870087639,기여
7297,6,0.06244574515290619,전국
4493,6,0.4081883483811089,상금
7958,6,0.032099859112062375,지역
3386,6,0.5698786679867357,목재
1414,6,0.3255224620357194,공로
3123,6,0.32416145362457577,마크
5010,6,0.5521591842191201,수상작
8998,6,0.04679476886079349,평가
6292,6,0.08715074207534207,우수
6190,6,0.027961710574984106,올해
6925,6,0.09540655033840564,일자리
5222,6,0.33162350302046206,시상
1985,6,0.006898280895455729,기자
3424,6,0.007995443882934628,무단
9078,6,0.18207122125249747,표창
7204,6,0.007892724497704874,재배포
844,6,0.0592311985351125,가족
5029,6,0.24436129072609986,수여
9650,6,0.044270434793021576,활용
9644,6,0.0332443948607054,활동
4443,6,0.3126856082670972,산림청
8403,6,0.35076253337410795,최우수
1890,6,0.007275270598835373,금지
6701,6,0.014820450207545542,이번
2160,6,0.14368398839362606,나눔
4627,6,0.005274762552251684,서울
337,6,0.006220504882751043,20일
6738,6,0.03109366025295865,이용
305,6,0.04393368663545961,2016년
1020,6,0.02582789539344583,개최
7914,6,0.009618945242731098,지난
7563,6,0.013011555071883105,제공
6848,6,0.04960317129116442,인정
9109,6,0.024060705487194148,프로그램
9416,6,0.016441450336317973,행사
4643,6,0.05320746594356205,서울신문
2644,6,0.04671214655392184,대전
8048,6,0.010848533104804834,진행
1972,7,0.1388211186185101,기업
8988,7,0.7393708772134838,편입
8998,7,0.1500715229451603,평가
